Name,Symbol,country,price (GBP),revenue_ttm,marketcap,earnings_ttm,pe_ratio_ttm,dividend_yield_ttm,Market_Cap_Bn,Profit_Margin
Ingles Markets,IMKTA,United States,56.0345384,5827075484,1064342497.1418,233703000.0,6.04963,0.1,1.0643424971418,4.010639653488313
Pick n Pay Stores,PIK.JO,South Africa,1.1062440064,5797631477,812934209.648,92904200.0,8.84924,0.0,0.812934209648,1.6024509382592482
Anywhere Real Estate,HOUS,United States,3.8783764,5629000000,431558587.82464,101000000.0,-1.25862,0.0,0.43155858782463996,1.7942796233789304
Ardent Health,ARDT,United States,13.962917,5595688000,1993388206.9299,234069000.0,0.0,0.0,1.9933882069299,4.183024500293798
Under Armour,UA,United States,6.3928444,5568532000,2852493644.8922,-65821000.0,9.77907,0.0,2.8524936448922,-1.182017091757756
Greenyard,GREEN.BR,Belgium,5.3195323048,5546680706,264381395.59496,21871600.0,23.1022,0.0,0.26438139559496,0.3943187134666122
Clariane,CLARI.PA,France,1.4430303264,5522422065,513288409.95004,-84186400.0,8.39603,0.0,0.51328840995004,-1.5244470453201406
Babcock International Group,BAB.L,United Kingdom,4.7519787792,5480429683,2402587391.7201,70996400.0,0.0,0.1,2.4025873917201,1.2954531689408777
Mutares,MUX.DE,Germany,17.816224916,5426454336,382070602.49152,44155500.0,1.11119,0.0,0.38207060249152,0.8137081281061387
FirstGroup,FGP.L,United Kingdom,1.459001008,5376532797,876711615.65092,-23736900.0,0.0,0.0,0.87671161565092,-0.4414908435645501
Hapvida,HAPV3.SA,Brazil,0.55187848448,5371920122,4135991366.7787,-100393000.0,-37.1151,0.0,4.1359913667787,-1.8688475949010026
Schneider,SNDR,United States,21.7463384,5359400000,3810284923.5354,145300000.0,15.663,0.1,3.8102849235354,2.7111243795947306
GrainCorp,GNC.AX,Australia,4.6737254872,5280002571,1048490188.3136,238285000.0,5.61587,0.0,1.0484901883136,4.5129712873391705
New India Assurance,NIACL.NS,India,2.0930431632,5279986879,3449333469.5949,163973000.0,31.7739,0.1,3.4493334695949,3.1055569598509223
Elco Ltd.,ELCO.TA,Israel,22.4911543,5192979018,605709738.58204,-99385700.0,-9.79432,0.0,0.6057097385820399,-1.9138475171093017
Lyft,LYFT,United States,9.7988056,5095182000,4019048601.8048,-57213000.0,-3.55402,0.0,4.0190486018048,-1.1228843248386415
Webuild S.p.A.,WBD.MI,Italy,2.1295029492,5084978505,2125002899.5415,201556000.0,20.6206,0.1,2.1250028995415002,3.9637532351771463
Herbalife,HLF,United States,5.659305508,5041700000,569993918.89664,133100000.0,3.94149,0.0,0.56999391889664,2.6399825455699464
Hanesbrands,HBI,United States,5.581357,4959727000,1962879377.2954,114494000.0,-6.5,0.0,1.9628793772953999,2.308473833338004
Yellow Corporation,YELLQ,United States,0.4343172,4846000000,29545946.87824,107600000.0,-0.251613,0.0,0.02954594687824,2.220387948823772
Weis Markets,WMK,United States,52.76573,4732905000,1419313742.3104,131980000.0,15.7437,0.1,1.4193137423104,2.7885622043966656
Kemper,KMPR,United States,46.2433524,4650100000,2979306611.1181,107100000.0,-10.2736,0.1,2.9793066111181004,2.3031762757790153
Pepkor,PPH.JO,South Africa,1.0290803172,4629857197,3790861331.808,-5720580.0,15.457,0.1,3.7908613318080002,-0.1235584545395213
Wienerberger,WIB.F,Austria,25.111610936,4564520491,2809383267.0449,190662000.0,7.06809,0.1,2.8093832670449,4.1770433581344175
Pepco Group,PCO.WA,United Kingdom,4.0615820624,4527313042,2339579006.8005,193744000.0,21.6104,0.0,2.3395790068005,4.2794478358936505
AMC Entertainment,AMC,United States,3.4592984,4492300000,1250034758.0928,45300000.0,-0.796875,0.0,1.2500347580928,1.00839213765777
Aldrees Petroleum and Transport Services,4200.SR,Saudi Arabia,27.1410152,4480527405,2714103069.0647,128821000.0,37.0983,0.1,2.7141030690647003,2.8751302772134255
Galenica,GALE.SW,Switzerland,67.648256524,4455511032,3371063236.9382,231873000.0,24.7203,0.1,3.3710632369382,5.204184174041116
CommScope,COMM,United States,4.686054,4424600000,1017079910.4717,-75300000.0,-1.02517,0.0,1.0170799104716999,-1.7018487546896894
Brinker International,EAT,United States,57.5756025,4415100000,2576870987.8886,229900000.0,23.9209,0.0,2.5768709878886,5.207130076328962
Pinewood Technologies Group,PINE.L,United Kingdom,3.5120031732,4379475503,303769056.32668,69200600.0,0.0,0.0,0.30376905632668,1.5801115899060663
Técnicas Reunidas,TRE.MC,Spain,9.88757394,4373106221,772016250.54912,158268000.0,10.7324,0.0,0.7720162505491199,3.6191208720242063
Berli Jucker (BJC),BJC.BK,Thailand,0.55846943848,4336138183,2238232984.699,183930000.0,20.6534,0.1,2.2382329846989997,4.241792863546295
NCR Atleos Corporation,NATL,United States,21.93797134,4296000000,1586595879.2909,237000000.0,-11.6695,0.0,1.5865958792909,5.516759776536313
Implenia AG,IMPN.SW,Switzerland,28.721167848,4276979491,528403461.52136,132225000.0,0.0,0.1,0.52840346152136,3.0915509480052354
Calumet Specialty Products Partners,CLMT,United States,13.3000118,4265800000,1142387194.9722,208300000.0,-31.8545,0.0,1.1423871949722,4.8830231140700455
Tutor Perini,TPC,United States,19.6242798,4258633000,1028104215.9616,69597000.0,-6.30244,0.0,1.0281042159615998,1.6342568143345528
Topgolf Callaway Brands,MODG,United States,8.2901248,4239700000,1523766291.3331,231000000.0,18.7931,0.0,1.5237662913331,5.448498714531689
Grocery Outlet,GO,United States,13.5095508,4159195000,1323804970.0454,90820000.0,24.2055,0.0,1.3238049700454,2.1835956236723693
DFDS A/S,DFDS.CO,Denmark,19.405368692,4136276489,1059870805.3486,169722000.0,5.58672,0.1,1.0598708053486001,4.103255680594808
V2X,VVX,United States,42.326878,4124561000,1320243044.777,106034000.0,-35.8387,0.0,1.320243044777,2.5707948070109765
Scandinavian Airlines System (SAS),SAS.ST,Sweden,0.00019230422676,4102059327,5098554.76128,-134738000.0,-0.00362678,0.0,0.00509855476128,-3.2846428893201622
Agrana,AGR.VI,Austria,9.16142606,4086839793,572488053.99404,76785800.0,7.41349,0.0,0.57248805399404,1.878855151883366
IAC/InterActiveCorp,IAC,United States,41.7706472,4048582000,3597430019.9117,-148204000.0,18.9273,0.0,3.5974300199117,-3.6606397005173665
Jeld-Wen,JELD,United States,11.9551524,4043187000,1010719629.1942,3279000.0,24.7513,0.0,1.0107196291942,0.08109939015929761
Charoen Pokphand Indonesia,CPIN.JK,Indonesia,0.2331673796,4040118280,3823472735.9634,235301000.0,39.6947,0.1,3.8234727359633998,5.824111664374341
Sensata Technologies,ST,United States,27.5981912,4036040000,4166168082.432,219535000.0,18.1275,0.1,4.166168082432,5.4393663095509455
Hub Group,HUBG,United States,34.3872548,3995846000,2137931311.831,143489000.0,6.66372,0.1,2.137931311831,3.5909542059428716
Martinrea International,MRE.TO,Canada,6.48827989,3920178411,485413560.21756,200197000.0,4.65114,0.1,0.48541356021756,5.10683389914725
Dentsply Sirona,XRAY,United States,20.3862398,3896000000,4132576106.6189,-52000000.0,-27.05,0.1,4.1325761066189,-1.3347022587268993
GPA,CBD,Brazil,0.3390722,3886270336,166150461.79712,-69054100.0,-0.199559,0.0,0.16615046179712,-1.776873300869618
BillerudKorsnäs,BILL.ST,Sweden,8.564887576,3879800382,2130138872.6344,78433000.0,14.5929,0.1,2.1301388726344,2.0215730779316163
Derichebourg,DBG.PA,France,4.441388644,3842896464,707566648.00596,226022000.0,0.0,0.0,0.70756664800596,5.881553201273028
Viohalco,VIO.BR,Belgium,4.9649008816,3829536928,1286852195.9254,130573000.0,-5.65857,0.1,1.2868521959254,3.4096289565796822
Danieli &amp; C. Officine Meccaniche,DAN.MI,Italy,23.684612248,3686351222,1551068472.5025,117311000.0,23.6874,0.1,1.5510684725025001,3.182306647828143
Bilia AB,BILI-A.ST,Sweden,8.919960936,3678996287,820700916.69344,92496400.0,14.5498,0.0,0.8207009166934399,2.5141748668473176
Conduent,CNDT,United States,2.9259264,3634000000,475164595.5072,110000000.0,-1.29293,0.0,0.4751645955072,3.026967528893781
Frontier Airlines,ULCC,United States,3.9317136,3612000000,882602870.16448,-30000000.0,16.1333,0.0,0.88260287016448,-0.8305647840531563
Tarkett,TKTT.PA,France,7.835768052,3603003486,513490572.41528,-8474120.0,0.0,0.0,0.51349057241528,-0.23519599780925665
TODA corp,1860.T,Japan,5.0380109436,3554711993,1514184821.1078,198743000.0,29.5277,0.1,1.5141848211078,5.590973344433196
Trinseo,TSE,United States,4.053551004,3540500000,143317348.99264,-73200000.0,-0.21803,0.1,0.14331734899263998,-2.067504589747211
MIRAIT ONE Corporation,1417.T,Japan,11.3608236,3526137870,1030288402.4941,137195000.0,12.9462,0.1,1.0302884024941,3.8908007870945784
momo.com Inc.,8454.TW,Taiwan,9.372260392,3509605605,2365155334.8546,139199000.0,26.0405,0.0,2.3651553348546,3.966229134170761
PHINIA,PHIN,United States,35.2901774,3509000000,1541397241.1034,185000000.0,14.4255,0.1,1.5413972411034,5.272157309774864
The Cheesecake Factory,CAKE,United States,30.777697888,3502484000,1565723003.0694,125154000.0,22.6136,0.1,1.5657230030694,3.573292554655496
Vantiva,VANTI.PA,France,0.09490745172,3488178236,46519927.87884,-91873900.0,-0.000394914,0.0,0.046519927878839996,-2.633864836716446
Cyfrowy Polsat,CPS.WA,Poland,2.518773074,3443486305,1387096763.7012,192373000.0,18.1085,0.0,1.3870967637012,5.586576595953676
Worthington Steel,WS,United States,25.239925,3431528000,1271870069.0381,220726000.0,15.3565,0.1,1.2718700690381,6.432294884378038
TreeHouse Foods,THS,United States,32.142444444,3383300000,1668192749.3018,-11900000.0,-31.1407,0.0,1.6681927493018,-0.35172760322761804
Construcciones y Auxiliar de Ferrocarriles,CAF.MC,Spain,30.017338004,3340182399,1027773798.8652,97325200.0,23.9653,0.0,1.0277737988652,2.913769021390499
MultiChoice Group,MCG.JO,South Africa,4.7041962676,3333784106,1998402549.872,51916900.0,28.1113,0.0,1.998402549872,1.557296404004153
